,alg,fun,dim,inst,run,fit,fungroup,logscore
0,PSO,1,5,1,1,1e-08,1,0.0
1,PSO,1,5,1,2,1e-08,1,0.0
2,PSO,1,5,1,3,1e-08,1,0.0
3,PSO,1,5,1,4,1e-08,1,0.0
4,PSO,1,5,1,5,1e-08,1,0.0
5,PSO,1,5,1,6,1e-08,1,0.0
6,PSO,1,5,1,7,1e-08,1,0.0
7,PSO,1,5,1,8,1e-08,1,0.0
8,PSO,1,5,1,9,1e-08,1,0.0
9,PSO,1,5,1,10,1e-08,1,0.0
10,PSO,1,5,1,11,1e-08,1,0.0
11,PSO,1,5,1,12,1e-08,1,0.0
12,PSO,1,5,1,13,1e-08,1,0.0
13,PSO,1,5,1,14,1e-08,1,0.0
14,PSO,1,5,1,15,1e-08,1,0.0
15,PSO,1,5,2,1,1e-08,1,0.0
16,PSO,1,5,2,2,1e-08,1,0.0
17,PSO,1,5,2,3,1e-08,1,0.0
18,PSO,1,5,2,4,1e-08,1,0.0
19,PSO,1,5,2,5,1e-08,1,0.0
20,PSO,1,5,2,6,1e-08,1,0.0
21,PSO,1,5,2,7,1e-08,1,0.0
22,PSO,1,5,2,8,1e-08,1,0.0
23,PSO,1,5,2,9,1e-08,1,0.0
24,PSO,1,5,2,10,1e-08,1,0.0
25,PSO,1,5,2,11,1e-08,1,0.0
26,PSO,1,5,2,12,1e-08,1,0.0
27,PSO,1,5,2,13,1e-08,1,0.0
28,PSO,1,5,2,14,1e-08,1,0.0
29,PSO,1,5,2,15,1e-08,1,0.0
30,PSO,1,5,3,1,1e-08,1,0.0
31,PSO,1,5,3,2,1e-08,1,0.0
32,PSO,1,5,3,3,1e-08,1,0.0
33,PSO,1,5,3,4,1e-08,1,0.0
34,PSO,1,5,3,5,1e-08,1,0.0
35,PSO,1,5,3,6,1e-08,1,0.0
36,PSO,1,5,3,7,1e-08,1,0.0
37,PSO,1,5,3,8,1e-08,1,0.0
38,PSO,1,5,3,9,1e-08,1,0.0
39,PSO,1,5,3,10,1e-08,1,0.0
40,PSO,1,5,3,11,1e-08,1,0.0
41,PSO,1,5,3,12,1e-08,1,0.0
42,PSO,1,5,3,13,1e-08,1,0.0
43,PSO,1,5,3,14,1e-08,1,0.0
44,PSO,1,5,3,15,1e-08,1,0.0
45,PSO,1,5,4,1,1e-08,1,0.0
46,PSO,1,5,4,2,1e-08,1,0.0
47,PSO,1,5,4,3,1e-08,1,0.0
48,PSO,1,5,4,4,1e-08,1,0.0
49,PSO,1,5,4,5,1e-08,1,0.0
50,PSO,1,5,4,6,1e-08,1,0.0
51,PSO,1,5,4,7,1e-08,1,0.0
52,PSO,1,5,4,8,1e-08,1,0.0
53,PSO,1,5,4,9,1e-08,1,0.0
54,PSO,1,5,4,10,1e-08,1,0.0
55,PSO,1,5,4,11,1e-08,1,0.0
56,PSO,1,5,4,12,1e-08,1,0.0
57,PSO,1,5,4,13,1e-08,1,0.0
58,PSO,1,5,4,14,1e-08,1,0.0
59,PSO,1,5,4,15,1e-08,1,0.0
60,PSO,1,5,5,1,1e-08,1,0.0
61,PSO,1,5,5,2,1e-08,1,0.0
62,PSO,1,5,5,3,1e-08,1,0.0
63,PSO,1,5,5,4,1e-08,1,0.0
64,PSO,1,5,5,5,1e-08,1,0.0
65,PSO,1,5,5,6,1e-08,1,0.0
66,PSO,1,5,5,7,1e-08,1,0.0
67,PSO,1,5,5,8,1e-08,1,0.0
68,PSO,1,5,5,9,1e-08,1,0.0
69,PSO,1,5,5,10,1e-08,1,0.0
70,PSO,1,5,5,11,1e-08,1,0.0
71,PSO,1,5,5,12,1e-08,1,0.0
72,PSO,1,5,5,13,1e-08,1,0.0
73,PSO,1,5,5,14,1e-08,1,0.0
74,PSO,1,5,5,15,1e-08,1,0.0
75,PSO,1,5,6,1,1e-08,1,0.0
76,PSO,1,5,6,2,1e-08,1,0.0
77,PSO,1,5,6,3,1e-08,1,0.0
78,PSO,1,5,6,4,1e-08,1,0.0
79,PSO,1,5,6,5,1e-08,1,0.0
80,PSO,1,5,6,6,1e-08,1,0.0
81,PSO,1,5,6,7,1e-08,1,0.0
82,PSO,1,5,6,8,1e-08,1,0.0
83,PSO,1,5,6,9,1e-08,1,0.0
84,PSO,1,5,6,10,1e-08,1,0.0
85,PSO,1,5,6,11,1e-08,1,0.0
86,PSO,1,5,6,12,1e-08,1,0.0
87,PSO,1,5,6,13,1e-08,1,0.0
88,PSO,1,5,6,14,1e-08,1,0.0
89,PSO,1,5,6,15,1e-08,1,0.0
90,PSO,1,5,7,1,1e-08,1,0.0
91,PSO,1,5,7,2,1e-08,1,0.0
92,PSO,1,5,7,3,1e-08,1,0.0
93,PSO,1,5,7,4,1e-08,1,0.0
94,PSO,1,5,7,5,1e-08,1,0.0
95,PSO,1,5,7,6,1e-08,1,0.0
96,PSO,1,5,7,7,1e-08,1,0.0
97,PSO,1,5,7,8,1e-08,1,0.0
98,PSO,1,5,7,9,1e-08,1,0.0
99,PSO,1,5,7,10,1e-08,1,0.0
100,PSO,1,5,7,11,1e-08,1,0.0
101,PSO,1,5,7,12,1e-08,1,0.0
102,PSO,1,5,7,13,1e-08,1,0.0
103,PSO,1,5,7,14,1e-08,1,0.0
104,PSO,1,5,7,15,1e-08,1,0.0
105,PSO,1,5,8,1,1e-08,1,0.0
106,PSO,1,5,8,2,1e-08,1,0.0
107,PSO,1,5,8,3,1e-08,1,0.0
108,PSO,1,5,8,4,1e-08,1,0.0
109,PSO,1,5,8,5,1e-08,1,0.0
110,PSO,1,5,8,6,1e-08,1,0.0
111,PSO,1,5,8,7,1e-08,1,0.0
112,PSO,1,5,8,8,1e-08,1,0.0
113,PSO,1,5,8,9,1e-08,1,0.0
114,PSO,1,5,8,10,1e-08,1,0.0
115,PSO,1,5,8,11,1e-08,1,0.0
116,PSO,1,5,8,12,1e-08,1,0.0
117,PSO,1,5,8,13,1e-08,1,0.0
118,PSO,1,5,8,14,1e-08,1,0.0
119,PSO,1,5,8,15,1e-08,1,0.0
120,PSO,1,5,9,1,1e-08,1,0.0
121,PSO,1,5,9,2,1e-08,1,0.0
122,PSO,1,5,9,3,1e-08,1,0.0
123,PSO,1,5,9,4,1e-08,1,0.0
124,PSO,1,5,9,5,1e-08,1,0.0
125,PSO,1,5,9,6,1e-08,1,0.0
